kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,jumlah_penduduk_miskin,persen_penduduk_miskin,indeks_p1,indeks_p2,garis_kemiskinan
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,2007,25100,32.26,5.24,1.22,216518
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,2008,20600,26.45,4.51,1.19,253123
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,2009,19100,24.72,3.95,1.01,255471
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,2010,19000,23.61,4.29,1.19,278023
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,2007,26500,28.54,5.5,1.5,208087
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,2008,22200,23.27,4.82,1.38,213997
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,2009,20300,21.06,3.4,0.84,257778
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,2010,19900,19.38,2.91,0.65,280534
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,2007,49800,24.72,4.57,1.21,196167
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,2008,38800,19.4,3.62,1.01,203761
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,2009,35400,17.5,2.44,0.56,236741
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,2010,32200,15.93,3.1,0.91,257640
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,2007,36300,21.6,3.8,0.94,155423
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,2008,30900,18.51,2.83,0.66,165925
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,2009,27900,16.77,2.79,0.68,170569
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,2010,30100,16.78,2.62,0.75,185626
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,2007,84900,28.15,6.87,2.53,221862
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,2008,76200,24.05,5.29,1.72,256739
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,2009,68300,21.33,3.49,0.99,264671
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,2010,66600,18.42,2.98,0.71,288036
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,2007,39900,24.41,3.83,0.92,246435
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,2008,40600,23.36,4.39,1.03,283307
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,2009,38200,21.43,3.18,0.74,305619
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,2010,35300,20.09,2.88,0.62,332598
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,2007,48200,32.63,7.23,2.32,297287
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,2008,43700,29.96,11.06,4.83,335955
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,2009,40400,27.09,5.73,1.85,341606
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,2010,42400,24.42,4.76,1.53,371762
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,2007,79100,26.69,6.5,2.17,266749
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,2008,63500,21.52,5.56,1.7,285876
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,2009,59000,20.09,3.91,1.31,308440
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,2010,66200,18.8,3.71,1.04,324096
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,2007,120300,33.31,5.16,1.18,249440
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,2008,101800,28.11,6.33,1.62,277688
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,2009,93800,25.87,4.07,0.9,312476
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,2010,90200,23.8,3.44,0.74,328337
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,2007,93000,27.18,5.2,1.5,200060
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,2008,79100,23.27,5.21,1.66,214801
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,2009,72900,21.65,4.24,1.3,242576
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,2010,76100,19.5,4.11,1.31,263990
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,2007,163200,33.16,6.55,1.98,186286
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,2008,135700,27.56,5.61,1.68,218970
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,2009,126600,25.29,4.51,1.15,229559
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,2010,124400,23.43,4.46,1.38,249824
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,2007,33500,28.63,4.87,1.35,198562
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,2008,27400,23.42,3.72,0.82,231460
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,2009,25000,21.33,3.06,0.7,231758
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,2010,25200,19.93,3.31,0.84,252217
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2007,23100,32.31,4.89,1.12,203848
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2008,18900,26.57,4.85,1.09,231260
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2009,17100,24.22,5.31,1.8,232481
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2010,19100,23.9,3.4,0.8,253004
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2007,50800,22.19,4.35,1.39,206110
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2008,50800,22.29,3.58,0.88,240753
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2009,45300,19.96,3.43,1,274295
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2010,45200,17.98,2.7,0.64,298509
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2007,40000,33.61,7.75,2.55,257193
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2008,33200,28.11,7.62,2.26,288593
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2009,30900,26.22,5.12,1.47,294493
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2010,33500,24.06,4.43,1.15,320490
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2007,19500,29.28,5.46,1.57,212762
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2008,17200,23.86,5.79,1.94,215382
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2009,17100,21.86,4.49,1.37,254156
